,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,ms. marvel,1,12,15,57
1,1,only murders in the building,12,1,0,5
2,2,westworld,4,13,18,17
3,3,where the crawdads sing,4,13,8,6
4,4,girl in the picture,2,1,13,59
5,5,severance,4,13,18,17
6,6,manifest,4,13,18,17
7,7,supernatural,4,9,3,12
8,8,the batman,1,1,0,3
9,9,nope,10,13,18,11
10,10,last night in soho,4,3,13,13
11,11,the sandman,4,9,3,12
12,12,ncis: naval criminal investigative service,1,1,0,3
13,13,under the banner of heaven,5,0,13,1
14,14,banshee,1,1,0,3
15,15,criminal minds,5,0,13,1
16,16,black mirror,4,13,18,17
17,17,the lincoln lawyer,5,0,13,1
18,18,orphan: first kill,5,0,3,33
19,19,law &amp; order: special victims unit,5,0,13,1
20,20,the staircase,13,1,0,72
21,21,the blacklist,5,0,13,1
22,22,"love, death &amp; robots",0,17,9,67
23,23,death on the nile,5,0,13,1
24,24,true detective,5,0,13,1
25,25,lost,3,0,10,43
26,26,sherwood,5,0,13,1
27,27,midsomer murders,5,0,13,1
28,28,yellowjackets,4,3,13,13
29,29,riverdale,5,0,13,1
30,30,capitani,5,0,13,1
31,31,evil,5,0,3,33
32,32,bones,12,1,0,5
33,33,castle,12,1,0,5
34,34,the vampire diaries,4,9,3,12
35,35,the witcher,1,12,0,0
36,36,la casa de papel,1,1,0,3
37,37,the x files,5,0,13,1
38,38,dark,5,0,13,1
39,39,blue bloods,5,0,13,1
40,40,orphan,10,13,8,4
41,41,midsommar,4,3,13,13
42,42,mcdonald &amp; dodds,12,1,13,51
43,43,the flight attendant,12,0,13,7
44,44,the 100,4,13,18,17
45,45,the mentalist,5,0,13,1
46,46,endeavour,5,0,13,1
47,47,law &amp; order,5,0,13,1
48,48,stranger things,4,9,3,12
49,145,se7en,5,0,13,1
50,194,legacies,3,0,10,43
51,243,old,4,3,13,13
52,292,ojing-eo geim,1,0,13,21
53,341,grantchester,5,0,13,1
54,390,dexter,5,0,13,1
55,439,american horror stories,4,3,13,13
56,488,prison break,1,1,0,3
57,537,sherlock,5,0,13,1
58,586,killers of the flower moon,5,0,5,10
59,635,the baby,12,3,13,36
60,684,death in paradise,12,1,0,5
61,733,the expanse,4,13,18,17
62,782,scream,10,13,8,4
63,831,harley quinn,0,7,12,15
64,880,deep water,4,13,8,6
65,929,spy x family,0,7,15,42
66,978,pretty little liars,4,13,14,2
67,1027,big sky,5,0,13,1
68,1076,blade runner 2049,1,0,13,21
69,1125,mindhunter,5,0,13,1
70,1174,csi: crime scene investigation,5,0,13,1
71,1246,outer range,4,13,8,6
72,1247,silent witness,5,0,13,1
73,1248,night sky,3,0,10,43
74,1249,true blood,4,9,13,14
75,1250,srpski film,10,13,8,4
76,1251,warehouse 13,4,13,18,17
77,1252,get out,10,13,8,4
78,1253,outer banks,1,1,0,3
79,1254,the secret of skinwalker ranch,10,13,7,4
80,1255,candy,13,1,0,72
81,1256,pieces of her,5,0,13,1
82,1257,blonde,13,0,13,7
83,1258,knives out,12,1,0,5
